keys,en,zh_CN
ITEM_MIASMA_DESC_LV3,"When Burn and Poison coexist detonate toxic fog for [damage_poison]50[/damage_poison] area damage then clear Poison.","燃烧与中毒共存时引爆毒雾造成 [damage_poison]50[/damage_poison] 点范围伤害并清除中毒。"
ITEM_MIASMA_DESC_LV4,"Awakened: toxic fog deals [damage_poison]65[/damage_poison] area damage then clears Poison.","觉醒：毒雾造成 [damage_poison]65[/damage_poison] 点范围伤害并清除中毒。"
ITEM_DASH_DESC_LV1,"Dash toward the nearest enemy. Recharge 5 seconds.","向最近敌人冲刺；冷却 5 秒。"
ITEM_DASH_DESC_LV2,"Dash toward the nearest enemy. Recharge 4 seconds.","向最近敌人冲刺；冷却 4 秒。"
ITEM_DASH_DESC_LV3,"Dash toward the nearest enemy. Recharge 3 seconds and gain x1.2 dash damage for 2 seconds.","向最近敌人冲刺；冷却 3 秒，并获得持续 2 秒的 x1.2 冲刺伤害。"
ITEM_DASH_DESC_LV4,"Dash toward the nearest enemy. Recharge 3 seconds and gain x1.4 dash damage for 2 seconds.","向最近敌人冲刺；冷却 3 秒，并获得持续 2 秒的 x1.4 冲刺伤害。"
ITEM_MAGIC_MISSILE_DESC_LV1,"Hold to aim then release a missile for 10 damage. Recharge 4 seconds.","按住瞄准后释放魔法飞弹，造成 10 点伤害；冷却 4 秒。"
ITEM_MAGIC_MISSILE_DESC_LV2,"Hold to aim then release a missile for 15 damage. Recharge 3 seconds.","按住瞄准后释放魔法飞弹，造成 15 点伤害；冷却 3 秒。"
ITEM_MAGIC_MISSILE_DESC_LV3,"Hold to aim then release a missile for 18 damage. Recharge 2.5 seconds.","按住瞄准后释放魔法飞弹，造成 18 点伤害；冷却 2.5 秒。"
ITEM_MAGIC_MISSILE_DESC_LV4,"Hold to aim then release a missile for 24 damage. Recharge 2.5 seconds and lifetime 6 seconds.","按住瞄准后释放魔法飞弹，造成 24 点伤害；冷却 2.5 秒，存在 6 秒。"
ITEM_GRINDSTONE_DESC_LV1,"Wall bounces charge +0.05 per bounce, up to 0.5 per shot.","墙面反弹每次充能 +0.05 层，每发累计上限 0.5 层。"
ITEM_GRINDSTONE_DESC_LV2,"Wall bounces charge +0.06 per bounce, up to 0.5 per shot.","墙面反弹每次充能 +0.06 层，每发累计上限 0.5 层。"
ITEM_GRINDSTONE_DESC_LV3,"Wall bounces charge +0.07 per bounce, up to 0.5 per shot.","墙面反弹每次充能 +0.07 层，每发累计上限 0.5 层。"
ITEM_GRINDSTONE_DESC_LV4,"Awakened: wall bounces charge +0.10 per bounce, up to 0.5 per shot.","觉醒：墙面反弹每次充能 +0.10 层，每发累计上限 0.5 层。"
ITEM_DROP_HAMMER_DESC_LV1,"Every 3 bounces this shot: +1 Echo damage on the next hit, capped at +3.","本发每反弹 3 次，下次命中回响追加伤害 +1，封顶 +3。"
ITEM_DROP_HAMMER_DESC_LV2,"Every 3 bounces this shot: +1 Echo damage on the next hit, capped at +4.","本发每反弹 3 次，下次命中回响追加伤害 +1，封顶 +4。"
ITEM_DROP_HAMMER_DESC_LV3,"Every 3 bounces this shot: +1 Echo damage on the next hit, capped at +5.","本发每反弹 3 次，下次命中回响追加伤害 +1，封顶 +5。"
ITEM_DROP_HAMMER_DESC_LV4,"Awakened: every 2 bounces this shot: +1 Echo damage on the next hit, capped at +5.","觉醒：本发每反弹 2 次，下次命中回响追加伤害 +1，封顶 +5。"
ITEM_BATTERING_RAM_DESC_LV1,"A Power Strike grants the marble Pierce for 3 seconds.","强力击使弹珠获得 3 秒穿透。"
ITEM_BATTERING_RAM_DESC_LV2,"A Power Strike grants the marble Pierce for 3.5 seconds.","强力击使弹珠获得 3.5 秒穿透。"
ITEM_BATTERING_RAM_DESC_LV3,"A Power Strike grants the marble Pierce for 4 seconds.","强力击使弹珠获得 4 秒穿透。"
ITEM_BATTERING_RAM_DESC_LV4,"Awakened: a Power Strike grants Pierce for 5 seconds and pierce damage is increased by 50%.","觉醒：强力击使弹珠获得 5 秒穿透，穿透伤害 +50%。"
ITEM_AMMO_POUCH_DESC_LV1,Max bombs +1.,炸弹数上限 +1。
ITEM_AMMO_POUCH_DESC_LV2,Max bombs +2.,炸弹数上限 +2。
ITEM_AMMO_POUCH_DESC_LV3,Max bombs +3.,炸弹数上限 +3。
ITEM_AMMO_POUCH_DESC_LV4,"Awakened: battle starts with 2 extra bombs.","觉醒：战斗开始时额外获得 2 枚炸弹。"
ITEM_AMMO_RECYCLER_DESC_LV1,Each explosion has a 10% chance to recover 1 bomb.,每次爆炸后有 10% 概率回收 1 枚炸弹。
ITEM_AMMO_RECYCLER_DESC_LV2,Each explosion has a 20% chance to recover 1 bomb.,每次爆炸后有 20% 概率回收 1 枚炸弹。
ITEM_AMMO_RECYCLER_DESC_LV3,Each explosion has a 30% chance to recover 1 bomb.,每次爆炸后有 30% 概率回收 1 枚炸弹。
ITEM_AMMO_RECYCLER_DESC_LV4,"Awakened: 45% chance to recover 1 bomb after each explosion.","觉醒：每次爆炸后有 45% 概率回收 1 枚炸弹。"
ITEM_HIGH_EXPLOSIVE_DESC_LV1,"Each explosion has a 15% chance to spawn a small bomb marble (dealing 50% damage).",每次爆炸有 15% 概率额外炸出一颗小炸弹弹珠（造成 50% 伤害）。
ITEM_HIGH_EXPLOSIVE_DESC_LV2,"Each explosion has a 25% chance to spawn a small bomb marble (dealing 50% damage).",每次爆炸有 25% 概率额外炸出一颗小炸弹弹珠（造成 50% 伤害）。
ITEM_HIGH_EXPLOSIVE_DESC_LV3,"Each explosion has a 35% chance to spawn a small bomb marble (dealing 50% damage).",每次爆炸有 35% 概率额外炸出一颗小炸弹弹珠（造成 50% 伤害）。
ITEM_HIGH_EXPLOSIVE_DESC_LV4,"Awakened: small bombs deal 100% damage.","觉醒：小炸弹造成 100% 伤害。"
ITEM_LAST_SHOT_DESC_LV1,"With exactly 1 bomb before Detonate, explosions deal x1.5 damage.",引爆前炸弹数恰为 1 时，爆炸伤害 ×1.5。
ITEM_LAST_SHOT_DESC_LV2,"With exactly 1 bomb before Detonate, explosions deal x2 damage.",引爆前炸弹数恰为 1 时，爆炸伤害 ×2。
ITEM_LAST_SHOT_DESC_LV3,"With exactly 1 bomb before Detonate, explosions deal x2.5 damage.",引爆前炸弹数恰为 1 时，爆炸伤害 ×2.5。
ITEM_LAST_SHOT_DESC_LV4,"Awakened: also x1.5 explosion radius at 1 bomb.","觉醒：炸弹数恰为 1 时，爆炸半径 ×1.5。"
ITEM_AMMO_DUMP_DESC_LV1,Each Detonate deals bonus damage equal to current bombs x1.,每次引爆按当前炸弹数造成 x1 的额外伤害。
ITEM_AMMO_DUMP_DESC_LV2,Each Detonate deals bonus damage equal to current bombs x1.5.,每次引爆按当前炸弹数造成 x1.5 的额外伤害。
ITEM_AMMO_DUMP_DESC_LV3,Each Detonate deals bonus damage equal to current bombs x2.,每次引爆按当前炸弹数造成 x2 的额外伤害。
ITEM_AMMO_DUMP_DESC_LV4,"Awakened: also x1.5 explosion radius.","觉醒：爆炸半径 ×1.5。"
